Time,Day,Hour,Toa,qload,P_ele,P_edc,T_MS_s2,T_MS_s1,P_ele_1
0,7,0,12.97,176400,0.498,0.496,60,80,0.541
3600,7,1,12.73,173460,0.479,0.477,60,80,0.522
7200,7,2,12.67,170520,0.453,0.451,60,80,0.496
10800,7,3,12.39,167580,0.417,0.415,60,80,0.46
14400,7,4,12.26,164640,0.392,0.391,60,80,0.435
18000,7,5,12.18,164640,0.366,0.364,60,80,0.409
21600,7,6,11.94,158760,0.368,0.366,60,80,0.411
25200,7,7,11.87,155820,0.403,0.401,60,80,0.446
28800,7,8,11.65,188160,0.421,0.420,60,80,0.464
32400,7,9,11.54,220500,0.444,0.443,60,80,0.487
36000,7,10,11.78,252840,0.454,0.453,60,80,0.497
39600,7,11,12.03,285180,0.454,0.452,60,80,0.497
43200,7,12,12.58,317520,0.452,0.450,60,80,0.495
46800,7,13,13.54,349860,0.446,0.445,60,80,0.49
50400,7,14,13.96,364560,0.444,0.442,60,80,0.487
54000,7,15,14.09,379260,0.438,0.437,60,80,0.481
57600,7,16,14,393960,0.447,0.445,60,80,0.49
61200,7,17,14.34,408660,0.470,0.469,60,80,0.513
64800,7,18,14.63,370440,0.491,0.490,60,80,0.534
68400,7,19,14.63,332220,0.511,0.510,60,80,0.554
72000,7,20,14.74,294000,0.500,0.499,60,80,0.543
75600,7,21,14.7,255780,0.497,0.495,60,80,0.54
79200,7,22,14.19,217560,0.491,0.489,60,80,0.534
82800,7,23,13.94,176400,0.477,0.476,60,80,0.521
86400,1,0,13.76,176400,0.476,0.475,60,80,0.519
90000,1,1,13.23,170520,0.442,0.441,60,80,0.485
93600,1,2,12.71,164640,0.418,0.417,60,80,0.462
97200,1,3,12.37,158760,0.385,0.383,60,80,0.428
100800,1,4,12.16,152880,0.395,0.393,60,80,0.438
104400,1,5,12.03,147000,0.435,0.433,60,80,0.478
108000,1,6,12.04,147000,0.481,0.479,60,80,0.524
111600,1,7,12.3,294000,0.561,0.560,60,80,0.604
115200,1,8,12.25,441000,0.568,0.566,60,80,0.611
118800,1,9,12.18,646800,0.531,0.529,60,80,0.574
