Time,P_EDC
0,0.56542
3600,0.55705
7200,0.55241
10800,0.5495
14400,0.55323
18000,0.56605
21600,0.61797
25200,0.67808
28800,0.6748
32400,0.65744
36000,0.62516
39600,0.65362
43200,0.63061
46800,0.65917
50400,0.67399
54000,0.69608
57600,0.70272
61200,0.68508
64800,0.68372
68400,0.64816
72000,0.64016
75600,0.60652
79200,0.58642
82800,0.57233
86400,0.57971
90000,0.57434
93600,0.5668
97200,0.56589
100800,0.57507
104400,0.59199
108000,0.63091
111600,0.66773
115200,0.71511
118800,0.67064
122400,0.64555
126000,0.63236
129600,0.62536
133200,0.62827
136800,0.62872
140400,0.63427
144000,0.6601
147600,0.65337
151200,0.62918
154800,0.60708
158400,0.59044
162000,0.57635
165600,0.57271
169200,0.56616
172800,0.54599
176400,0.54463
180000,0.54381
183600,0.54408
187200,0.5449
190800,0.54817
194400,0.57512
198000,0.61241
201600,0.61568
205200,0.60742
208800,0.59762
212400,0.6018
216000,0.59744
219600,0.59771
223200,0.6066
226800,0.60933
230400,0.63355
234000,0.63727
237600,0.62031
241200,0.60806
244800,0.59572
248400,0.58356
252000,0.58201
255600,0.57575
259200,0.56745
262800,0.56636
266400,0.56591
270000,0.56564
273600,0.56636
277200,0.56943
280800,0.60829
284400,0.62717
288000,0.6447
291600,0.61398
295200,0.61
298800,0.60449
302400,0.60883
306000,0.60503
309600,0.60404
313200,0.61018
316800,0.62383
320400,0.6185
324000,0.60422
327600,0.59184
331200,0.5763
334800,0.56736
338400,0.56709
342000,0.55543
345600,0.56088
349200,0.55719
352800,0.55683
356400,0.55719
360000,0.55953
363600,0.56628
367200,0.58435
370800,0.63211
374400,0.63616
378000,0.61826
381600,0.60666
385200,0.60702
388800,0.61124
392400,0.61817
396000,0.61979
399600,0.63085
403200,0.64983
406800,0.65216
410400,0.63823
414000,0.6072
417600,0.60189
421200,0.60324
424800,0.5884
428400,0.5714
432000,0.58117
435600,0.57192
439200,0.57057
442800,0.57048
446400,0.57102
450000,0.57515
453600,0.58324
457200,0.58234
460800,0.59967
464400,0.61197
468000,0.60955
471600,0.60102
475200,0.59293
478800,0.59069
482400,0.60569
486000,0.62131
489600,0.6505
493200,0.65346
496800,0.64008
500400,0.61736
504000,0.60793
507600,0.61476
511200,0.61359
514800,0.5862
518400,0.57732
522000,0.56206
525600,0.56493
529200,0.56547
532800,0.56071
536400,0.56071
540000,0.56161
543600,0.56224
547200,0.57265
550800,0.58342
554400,0.58225
558000,0.58387
561600,0.57436
565200,0.56583
568800,0.56502
572400,0.57777
576000,0.60209
579600,0.60146
583200,0.59742
586800,0.58531
590400,0.57319
594000,0.56682
597600,0.55793
601200,0.54689
604800,0.54312
608400,0.5381
612000,0.53567
615600,0.53549
619200,0.54043
622800,0.55183
626400,0.58907
630000,0.60819
633600,0.60756
637200,0.60011
640800,0.5959
644400,0.59536
648000,0.59886
651600,0.6037
655200,0.60711
658800,0.62354
662400,0.63978
666000,0.63772
669600,0.62596
673200,0.6046
676800,0.59509
680400,0.58064
684000,0.56951
687600,0.56385
691200,0.54931
694800,0.55138
698400,0.55506
702000,0.56709
705600,0.58847
709200,0.60948
712800,0.66166
716400,0.68007
720000,0.70818
723600,0.72524
727200,0.73153
730800,0.69066
734400,0.68842
738000,0.68519
741600,0.68411
745200,0.67648
748800,0.68034
752400,0.67234
756000,0.66309
759600,0.6516
763200,0.61738
766800,0.60688
770400,0.58829
774000,0.56107
777600,0.54534
781200,0.53841
784800,0.53517
788400,0.53382
792000,0.53661
795600,0.54975
799200,0.5917
802800,0.62339
806400,0.6287
810000,0.60242
813600,0.59827
817200,0.59944
820800,0.60377
824400,0.60161
828000,0.60143
831600,0.61862
835200,0.62726
838800,0.62195
842400,0.60395
846000,0.58216
849600,0.56515
853200,0.54759
856800,0.53553
860400,0.52121
864000,0.50838
867600,0.50271
871200,0.50019
874800,0.50145
878400,0.50802
882000,0.51018
885600,0.52602
889200,0.55571
892800,0.56039
896400,0.56264
900000,0.55328
903600,0.54581
907200,0.53987
910800,0.54509
914400,0.55184
918000,0.55859
921600,0.56345
925200,0.563
928800,0.55013
932400,0.54527
936000,0.54509
939600,0.53402
943200,0.52683
946800,0.50316
950400,0.50255
954000,0.48864
957600,0.48466
961200,0.48828
964800,0.50038
968400,0.50661
972000,0.5216
975600,0.56107
979200,0.56567
982800,0.56504
986400,0.56025
990000,0.55231
993600,0.5468
997200,0.54454
1000800,0.56071
1004400,0.56486
1008000,0.57669
1011600,0.5813
1015200,0.57922
1018800,0.56378
1022400,0.55411
1026000,0.54391
1029600,0.52928
1033200,0.51555
