Time,Q_in,
0,91000,
3600,90000,
7200,89000,
10800,85000,
14400,81000,
18000,91000,
21600,103000,
25200,135000,
28800,168000,
32400,208000,
36000,212000,
39600,208000,
43200,203000,
46800,205000,
50400,204000,
54000,194000,
57600,185000,
61200,167000,
64800,147000,
68400,129000,
72000,114000,
75600,97000,
79200,80000,
82800,73000,
86400,75000,
90000,71000,
93600,74000,
97200,70000,
100800,72000,
104400,83000,
108000,96000,
111600,119000,
115200,158000,
118800,182000,
122400,192000,
126000,196000,
129600,196000,
133200,197000,
136800,188000,
140400,181000,
144000,179000,
147600,161000,
151200,141000,
154800,130000,
158400,117000,
162000,104000,
165600,99000,
169200,102000,
172800,87000,
176400,82000,
180000,81000,
183600,82000,
187200,81000,
190800,94000,
194400,106000,
198000,134000,
201600,166000,
205200,195000,
208800,198000,
212400,206000,
216000,203000,
219600,206000,
223200,203000,
226800,195000,
230400,193000,
234000,178000,
237600,157000,
241200,147000,
244800,129000,
248400,104000,
252000,99000,
255600,98000,
259200,98000,
262800,94000,
266400,95000,
270000,92000,
273600,95000,
277200,101000,
280800,114000,
284400,139000,
288000,172000,
291600,195000,
295200,200000,
298800,202000,
302400,203000,
306000,207000,
309600,200000,
313200,196000,
316800,188000,
320400,173000,
324000,166000,
327600,154000,
331200,142000,
334800,136000,
338400,125000,
342000,124000,
345600,122000,
349200,114000,
352800,112000,
356400,110000,
360000,111000,
363600,124000,
367200,127000,
370800,150000,
374400,171000,
378000,195000,
381600,199000,
385200,200000,
388800,196000,
392400,192000,
396000,188000,
399600,189000,
403200,180000,
406800,160000,
410400,147000,
414000,146000,
417600,127000,
421200,107000,
424800,110000,
428400,95000,
432000,90000,
435600,85000,
439200,86000,
442800,85000,
446400,87000,
450000,85000,
453600,86000,
457200,98000,
460800,103000,
464400,114000,
468000,121000,
471600,117000,
475200,123000,
478800,127000,
482400,124000,
486000,128000,
489600,126000,
493200,127000,
496800,122000,
500400,102000,
504000,112000,
507600,100000,
511200,91000,
514800,89000,
518400,86000,
522000,89000,
525600,81000,
529200,80000,
532800,79000,
536400,80000,
540000,77000,
543600,91000,
547200,89000,
550800,104000,
554400,110000,
558000,118000,
561600,118000,
565200,120000,
568800,118000,
572400,124000,
576000,122000,
579600,124000,
583200,118000,
586800,109000,
590400,103000,
594000,99000,
597600,102000,
601200,86000,
604800,84000,
608400,77000,
612000,79000,
615600,76000,
619200,79000,
622800,86000,
626400,100000,
630000,124000,
633600,156000,
637200,187000,
640800,193000,
644400,197000,
648000,197000,
651600,198000,
655200,197000,
658800,192000,
662400,184000,
666000,163000,
669600,150000,
673200,142000,
676800,126000,
680400,108000,
684000,100000,
687600,94000,
691200,103000,
694800,97000,
698400,97000,
702000,95000,
705600,96000,
709200,105000,
712800,119000,
716400,144000,
720000,168000,
723600,196000,
727200,201000,
730800,202000,
734400,200000,
738000,197000,
741600,195000,
745200,196000,
748800,186000,
752400,164000,
756000,150000,
759600,135000,
763200,124000,
766800,106000,
770400,98000,
774000,89000,
777600,85000,
781200,87000,
784800,89000,
788400,93000,
792000,91000,
795600,103000,
799200,114000,
802800,139000,
806400,165000,
810000,195000,
813600,204000,
817200,211000,
820800,212000,
824400,218000,
828000,219000,
831600,212000,
835200,204000,
838800,185000,
842400,173000,
846000,166000,
849600,145000,
853200,130000,
856800,133000,
860400,108000,
864000,108000,
867600,108000,
871200,116000,
874800,103000,
878400,102000,
882000,114000,
885600,121000,
889200,154000,
892800,178000,
896400,208000,
900000,208000,
903600,209000,
907200,207000,
910800,208000,
914400,207000,
918000,201000,
921600,192000,
925200,181000,
928800,162000,
932400,152000,
936000,139000,
939600,121000,
943200,115000,
946800,104000,
950400,104000,
954000,99000,
957600,103000,
961200,97000,
964800,97000,
968400,107000,
972000,117000,
975600,144000,
979200,179000,
982800,197000,
986400,207000,
990000,212000,
993600,208000,
997200,211000,
1000800,210000,
1004400,205000,
1008000,198000,
1011600,176000,
1015200,156000,
1018800,149000,
1022400,133000,
1026000,121000,
1029600,104000,
1033200,104000,
1036800,97000,
1040400,97000,
1044000,98000,
1047600,99000,
1051200,101000,
1054800,98000,
1058400,102000,
1062000,112000,
1065600,121000,
1069200,137000,
1072800,138000,
1076400,137000,
1080000,143000,
1083600,137000,
1087200,143000,
1090800,140000,
1094400,148000,
1098000,147000,
1101600,134000,
1105200,129000,
1108800,118000,
1112400,116000,
1116000,103000,
1119600,99000,
1123200,99000,
1126800,98000,
1130400,96000,
1134000,96000,
1137600,94000,
1141200,95000,
