Time,Hv
0,0
3600,0
7200,0
10800,0
14400,0
18000,1299
21600,3155
25200,6246
28800,7926
32400,11431
36000,12660
39600,12466
43200,12056
46800,11598
50400,10080
54000,8835
57600,8487
61200,7080
64800,5172
68400,3922
72000,2912
75600,1867
79200,3120
82800,2696
86400,1699
90000,597
93600,1441
97200,1633
100800,2253
104400,3224
108000,5141
111600,6309
115200,7975
118800,7847
122400,9162
126000,9920
129600,10475
133200,10578
136800,10020
140400,9225
144000,7728
147600,6499
151200,5518
154800,4176
158400,3096
162000,1294
165600,1825
169200,2677
172800,1816
176400,1172
180000,866
183600,1660
187200,2863
190800,4959
194400,5845
198000,6987
201600,7417
205200,9692
208800,9758
212400,10041
216000,9662
219600,10051
223200,9693
226800,9014
230400,8488
234000,6335
237600,4389
241200,2106
244800,1137
248400,0
252000,1588
255600,1310
259200,1536
262800,483
266400,413
270000,429
273600,1648
277200,3305
280800,4924
284400,6956
288000,6750
291600,8163
295200,8522
298800,8680
302400,8308
306000,8795
309600,8462
313200,8193
316800,7571
320400,5871
324000,4549
327600,2909
331200,1550
334800,608
338400,1494
342000,2412
345600,2305
349200,562
352800,2224
356400,433
360000,2887
363600,2956
367200,2946
370800,5119
374400,3719
378000,6832
381600,7411
385200,7048
388800,8214
392400,7927
396000,7952
399600,8767
403200,7443
406800,5073
410400,2810
414000,1933
417600,1621
421200,823
424800,3652
428400,2675
432000,2067
435600,1354
439200,1133
442800,1010
446400,1249
450000,1033
453600,854
457200,1260
460800,44
464400,845
468000,2337
471600,2776
475200,3323
478800,3575
482400,2569
486000,1851
489600,1292
493200,1638
496800,1095
500400,0
504000,0
507600,0
511200,318
514800,981
518400,1225
522000,2631
525600,3719
529200,4368
532800,3968
536400,3581
540000,2020
543600,1278
547200,0
550800,94
554400,987
558000,2449
561600,3377
565200,4090
568800,3750
572400,3929
576000,2280
579600,2077
583200,1550
586800,1286
590400,858
594000,777
597600,4345
601200,3167
604800,2633
608400,1667
612000,2011
