Time,Toa,Tiaref,P_EDC,P_LDC,qin,qinf,qve,qdhw,qdc,m_MS,m_Bu
0,12.97,12.97,0.47645,30,200000,0,0,176400,133900,26.896793,50
3600,12.73,12.73,0.47645,30,200000,0,0,173460,134700,23.945065,50
7200,12.67,12.67,0.47645,30,200000,0,0,170520,132300,23.805546,50
10800,12.39,12.39,0.47645,30,200000,0,0,167580,131400,23.857365,50
14400,12.26,12.26,0.47645,30,200000,0,0,164640,144800,23.889444,50
18000,12.18,12.18,0.47645,30,200000,0,0,164640,136400,23.93108,50
21600,11.94,11.94,0.47645,30,200000,0,0,158760,124500,23.989914,50
25200,11.87,11.87,0.47645,30,200000,0,0,155820,133400,24.036203,50
28800,11.65,11.65,0.47645,30,200000,0,0,188160,126200,24.106216,50
32400,11.54,11.54,0.47645,30,200000,0,0,220500,123300,24.102085,50
36000,11.78,11.78,0.47645,30,200000,0,0,252840,144100,24.011847,50
39600,12.03,12.03,0.47645,30,200000,0,0,285180,131200,23.897177,50
43200,12.58,12.58,0.47645,30,200000,0,0,317520,133300,23.759161,50
46800,13.54,13.54,0.47645,30,200000,0,0,349860,135400,23.705626,50
50400,13.96,13.96,0.47645,30,200000,0,0,364560,133000,23.726383,50
54000,14.09,14.09,0.47645,30,200000,0,0,379260,130700,23.734066,50
57600,14,14,0.47645,30,200000.1876,0,0,393960,138300,23.744108,50
61200,14.34,14.34,0.47645,30,200000,0,0,408660,139200,23.801773,50
64800,14.63,14.63,0.47645,30,199998.1615,0,0,370440,131900,23.847116,50
68400,14.63,14.63,0.47645,30,200000,0,0,332220,134500,23.85959,50
72000,14.74,14.74,0.47645,30,200007.3541,0,0,294000,133300,23.875368,50
75600,14.7,14.7,0.47645,30,200000,0,0,255780,141100,23.823774,50
79200,14.19,14.19,0.47645,30,199972.0543,0,0,217560,142700,23.742857,50
82800,13.94,13.94,0.47645,30,199923.1567,0,0,176400,145300,23.715261,50
86400,13.76,13.76,0.47645,30,199873.1411,0,0,176400,139700,23.706524,50
90000,13.23,13.23,0.47645,30,200000,0,0,170520,138000,23.728292,50
93600,12.71,12.71,0.47645,30,200369.5455,0,0,164640,128500,23.799814,50
97200,12.37,12.37,0.47645,30,200753.064,0,0,158760,139400,23.870428,50
100800,12.16,12.16,0.47645,30,200853.0803,0,0,152880,140500,23.924501,50
104400,12.03,12.03,0.47645,30,200000,0,0,147000,145500,23.950476,50
108000,12.04,12.04,0.47645,30,198031.4918,0,0,147000,135400,23.920647,50
111600,12.3,12.3,0.47645,30,196234.6802,0,0,294000,137900,23.877327,50
115200,12.25,12.25,0.47645,30,196220.7073,0,0,441000,135800,23.89118,50
118800,12.18,12.18,0.47645,30,200000,0,0,646800,135300,23.92995,50
122400,11.95,11.95,0.47645,30,208394.7511,0,0,882000,149900,23.966845,50
